state\event,EOF,CR,LF,TOKEN,STRING,NUMBER,RDY,READY,SMS,SEND,ERROR,FAIL,PB,DONE,OK,+CFUN,+CGREG,+CME,+CPIN,+CREG,+CSQ,+QIND,+QIOPEN,+QIURC,+QUSIM
INITIAL,,,,"SYNTAX ERROR\","SYNTAX ERROR\","SYNTAX ERROR\",\RDY,"SYNTAX ERROR\","SYNTAX ERROR\","SYNTAX ERROR\",\ERROR,"SYNTAX ERROR\","SYNTAX ERROR\","SYNTAX ERROR\",\OK,\+CFUN,\+CGREG,\+CME,\+CPIN,\+CREG,\+CSQ,\+QIND,\+QIOPEN,\+QIURC,\+QUSIM
OK,OK\INITIAL,"\OK CR",OK\INITIAL,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL",,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL"
"OK CR",OK\INITIAL,OK\INITIAL,OK\INITIAL,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL",,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL"
ERROR,ERROR\INITIAL,ERROR\INITIAL,,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL",,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL"
RDY,RDY\INITIAL,RDY\INITIAL,,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL",,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL"
+CFUN,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL",,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","\+CFUN NUMBER","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL",,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL"
"+CFUN NUMBER","SYNTAX ERROR\INITIAL",\INITIAL,,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL",,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL"
+CGREG,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL",,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","push number\+CGREG N","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL",,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL"
"+CGREG N","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL",,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","push number\+CGREG N STAT","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL",,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL"
"+CGREG N STAT","SYNTAX ERROR\INITIAL","\+CGREG N STAT CR",,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL",,"SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL","SYNTAX ERROR\INITIAL"
