state\event,EOF,CR,LF,TOKEN,STRING,NUMBER,OK,ERROR,CONNECT,WIFI,GOT,IP,DISCONNECT,ALREADY,CLOSED,DNS,FAIL,SEND,READY,IPD,>
INITIAL,,,,,,\NUMBER,\OK,\ERROR,,\WIFI,,,,\ALREADY,\CLOSED,\DNS,,\SEND,\READY,\IPD,>\
OK,OK\INITIAL,OK\INITIAL,,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL
ERROR,ERROR\INITIAL,ERROR\INITIAL,,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL
READY,READY\INITIAL,READY\INITIAL,,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL
WIFI,\INITIAL,\INITIAL,,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,"\WIFI GOT",\INITIAL,"\WIFI DISCONNECT",\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL
"WIFI GOT",\INITIAL,\INITIAL,,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,"\WIFI GOT IP",\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL
"WIFI GOT IP","WIFI GOT IP\INITIAL","WIFI GOT IP\INITIAL",,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL
"WIFI DISCONNECT","WIFI DISCONNECT\INITIAL","WIFI DISCONNECT\INITIAL",,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL
NUMBER,\INITIAL,\INITIAL,,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,"\0 CONNECT",\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL
"0 CONNECT","0 CONNECT\INITIAL","0 CONNECT\INITIAL",,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL
ALREADY,\INITIAL,\INITIAL,,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,"\ALREADY CONNECT",\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL
"ALREADY CONNECT","ALREADY CONNECT\INITIAL","ALREADY CONNECT\INITIAL",,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL
CLOSED,CLOSED\INITIAL,CLOSED\INITIAL,,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL
DNS,\INITIAL,\INITIAL,,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,"\DNS FAIL",\INITIAL,\INITIAL,\INITIAL,\INITIAL
"DNS FAIL","DNS FAIL\INITIAL","DNS FAIL\INITIAL",,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL
SEND,\INITIAL,\INITIAL,,\INITIAL,\INITIAL,\INITIAL,"\SEND OK",\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,"\SEND FAIL",\INITIAL,\INITIAL,\INITIAL,\INITIAL
"SEND OK","SEND OK\INITIAL","SEND OK\INITIAL",,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL
"SEND FAIL","SEND FAIL\INITIAL","SEND FAIL\INITIAL",,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL
IPD,\INITIAL,\INITIAL,,\INITIAL,\INITIAL,"push number\IPD LEN",\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL
"IPD LEN",\INITIAL,\INITIAL,,"IPD LEN DATA\INITIAL",\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL,\INITIAL
