state\event,"0x00 0x59",0x5A,"0x5B 0xA4",0xA5,"0xA6 0xFF","countdown = 0",EOI
READY,,,,append\A5,,,
A5,clear\READY,"append\A5 5A",clear\READY,clear\READY,clear\READY,,clear\READY
"A5 5A","append\A5 5A ADL0","append\A5 5A ADL0","append\A5 5A ADL0","append\A5 5A ADL0","append\A5 5A ADL0",,clear\READY
"A5 5A ADL0","append\A5 5A ADL0 ADL1","append\A5 5A ADL0 ADL1","append\A5 5A ADL0 ADL1","append\A5 5A ADL0 ADL1","append\A5 5A ADL0 ADL1",,clear\READY
"A5 5A ADL0 ADL1","append\A5 5A ADL0 ADL1 ADL2","append\A5 5A ADL0 ADL1 ADL2","append\A5 5A ADL0 ADL1 ADL2","append\A5 5A ADL0 ADL1 ADL2","append\A5 5A ADL0 ADL1 ADL2",,clear\READY
"A5 5A ADL0 ADL1 ADL2","append\A5 5A ADL0 ADL1 ADL2 ADL3","append\A5 5A ADL0 ADL1 ADL2 ADL3","append\A5 5A ADL0 ADL1 ADL2 ADL3","append\A5 5A ADL0 ADL1 ADL2 ADL3","append\A5 5A ADL0 ADL1 ADL2 ADL3",,clear\READY
"A5 5A ADL0 ADL1 ADL2 ADL3","append\A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID","append\A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID","append\A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID","append\A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID","append\A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID",,clear\READY
"A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID","append,set countdown\A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID LEN","append,set countdown\A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID LEN","append,set countdown\A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID LEN","append,set countdown\A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID LEN","append,set countdown\A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID LEN",,clear\READY
"A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID LEN","append\A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID LEN DATA","append\A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID LEN DATA","append\A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID LEN DATA","append\A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID LEN DATA","append\A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID LEN DATA",,clear\READY
"A5 5A ADL0 ADL1 ADL2 ADL3 TYPE-ID LEN DATA",append\,append\,append\,append\,append\,callback\READY,clear\READY
